"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\reportes\ResumenReservas.jsx", "JavaScript JSX", 0, 0, 229, 0, 0, 0, 0, 15, 244
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\reserva\Reservas.jsx", "JavaScript JSX", 0, 0, 484, 0, 0, 0, 7, 24, 515
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\reserva\ReservasCrud.jsx", "JavaScript JSX", 0, 0, 342, 0, 0, 0, 0, 30, 372
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\store\about.page.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\store\home.page.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 6, 54
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\store\store.page.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\providers\auth.provider.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 0, 0, 10, 46
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\services\axios.service.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\vite.config.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 2, 77
"Total", "-", 1053, 9888, 5485, 13, 2, 12, 97, 506, 17056
